movie2director_id,movie_id,director_id,genre
1,1672111,54934,Action
2,1672946,188940,Action
3,1679461,179783,Action
4,1691387,291700,Action
5,1693305,14663,Action
6,1698667,98630,Action
7,1704645,98630,Action
8,1705417,19141,Action
9,1706887,221541,Action
10,1707277,52953,Action
11,1709238,108073,Action
12,1711133,260603,Action
13,1711175,213822,Action
14,1711393,128558,Action
15,1711398,256455,Action
16,1715380,130253,Action
17,1715404,39629,Action
18,1715607,172775,Action
19,1717455,196811,Action
20,1719502,69968,Action
21,1722327,56159,Action
22,1731582,13745,Action
23,1736268,19189,Action
24,1736362,158089,Action
25,1736794,54543,Action
26,1740732,123402,Action
27,1740752,70986,Action
28,1740811,41939,Action
29,1744811,230882,Action
30,1745530,4997,Action
31,1749891,121794,Action
32,1750364,19189,Action
33,1750510,135809,Action
34,1751872,91117,Action
35,1753695,98451,Action
36,1754799,119455,Action
37,1754884,281227,Action
38,1757342,246268,Action
39,1757347,37121,Action
40,1757367,246268,Action
41,1757378,37121,Action
42,1757423,5763,Action
43,1757423,142542,Action
44,1757423,210916,Action
45,1757423,222944,Action
46,1757423,228607,Action
47,1757423,274556,Action
48,1757698,155392,Action
49,1757893,49086,Action
50,1759189,123878,Action
51,1763465,300073,Action
52,1763653,218785,Action
53,1765108,62483,Action
54,1765347,228463,Action
55,1765652,55590,Action
56,1766407,151963,Action
57,1766427,73359,Action
58,1766849,28945,Action
59,1767151,5049,Action
60,1769766,101620,Action
61,1770285,41939,Action
62,1774349,120629,Action
63,1776052,200149,Action
64,1778536,41759,Action
65,1778697,10484,Action
66,1778699,180716,Action
67,1779176,120788,Action
68,1779757,176568,Action
69,1780022,151963,Action
70,1784206,111350,Action
71,1785251,108073,Action
72,1786413,200150,Action
73,1787090,96982,Action
74,1788165,177106,Action
75,1790007,298771,Action
76,1790523,75298,Action
77,1792713,149557,Action
78,1793433,68638,Action
79,1803115,289841,Action
80,1804924,190139,Action
81,1804925,297381,Action
82,1809984,62087,Action
83,1811382,275755,Action
84,1816379,131292,Action
85,1819870,125482,Action
86,1823223,200697,Action
87,1823486,111350,Action
88,1826286,298471,Action
89,1829882,293703,Action
90,1830096,184198,Action
91,1830497,137425,Action
92,1830531,129163,Action
93,1831084,172775,Action
94,1831363,155392,Action
95,1831593,70986,Action
96,1832668,253187,Action
97,1838160,247289,Action
98,1838773,211555,Action
99,1842584,111350,Action
100,1843756,292753,Action
101,1843757,159773,Action
102,1848628,70782,Action
103,1849156,289841,Action
104,1850182,213822,Action
105,1854045,51903,Action
106,1854166,247289,Action
107,1858361,297504,Action
108,1858362,155392,Action
109,1858363,297504,Action
110,1858364,99806,Action
111,1859542,111350,Action
112,1859617,155280,Action
113,1859753,258859,Action
114,1861514,31460,Action
115,1868890,232620,Action
116,1869010,245889,Action
117,1870132,172161,Action
118,1872662,19608,Action
119,1874279,180080,Action
120,1874284,111350,Action
121,1874295,180080,Action
122,1878669,121340,Action
123,1878669,300947,Action
124,1879793,298771,Action
125,1889009,278493,Action
126,1890357,302682,Action
127,1890829,51903,Action
128,1893245,13745,Action
129,1895286,165692,Action
130,1895298,298646,Action
131,1898372,231880,Action
132,1906242,124932,Action
133,1907821,232620,Action
134,1915498,124171,Action
135,1915987,247289,Action
136,1917129,6523,Action
