movie_id,year,isEnglish,country,runningtime
1672052,3,1,3,2
1672111,4,1,3,2
1672580,4,1,2,3
1672716,4,1,2,2
1672946,4,1,2,0
1673658,4,1,2,2
1673848,4,1,2,2
1674388,4,1,2,2
1674737,3,1,2,2
1677011,4,1,2,2
1677258,3,0,0,1
1677346,4,1,2,1
1677472,1,1,2,1
1677516,4,1,2,2
1677631,3,1,2,3
1678036,3,1,2,3
1678591,4,1,1,2
1679029,4,1,2,2
1679461,4,1,2,1
1679507,4,1,2,1
1679920,4,0,3,2
1681633,4,1,2,3
1681655,4,1,2,2
1682630,3,0,2,1
1682657,4,1,2,1
1682692,4,1,2,2
1682746,4,1,1,3
1682922,4,1,2,3
1684201,4,1,2,2
1684430,4,1,2,3
1684442,4,1,2,1
1684486,4,1,2,1
1685241,2,1,2,1
1685309,3,1,2,1
1685405,4,1,2,3
1685463,3,1,1,3
1685493,4,1,1,1
1685815,4,1,2,2
1686071,4,1,3,2
1686209,2,1,2,2
1687181,4,1,2,2
1687191,1,1,2,0
1687544,3,1,2,3
1687685,4,1,2,2
1687730,4,1,2,2
1687738,2,1,2,1
1687905,4,1,2,3
1688103,4,1,2,2
1689117,4,1,3,1
1689183,4,1,2,1
1689210,4,1,1,1
1689263,4,1,2,1
1689475,3,1,1,1
1690318,4,1,2,1
1690377,3,1,1,3
1690616,4,1,2,3
1690773,4,1,1,2
1691077,4,1,2,2
1691387,4,1,2,2
1691642,3,1,1,3
1691685,4,1,3,2
1691793,4,1,2,3
1692173,4,1,3,3
1692404,4,1,2,1
1692580,4,1,1,1
1693225,4,1,2,1
1693305,3,1,1,3
1693341,3,1,2,1
1693345,4,1,2,2
1693346,4,1,2,2
1693347,4,1,2,1
1693348,4,1,2,1
1693818,4,1,2,2
1693861,4,1,2,2
1693880,4,1,2,3
1694141,2,1,2,3
1694448,4,1,1,3
1694647,4,1,2,1
1694901,3,1,2,3
1695219,4,1,2,3
1695355,4,1,1,3
1696148,4,1,0,3
1696165,4,1,2,2
1696168,4,1,2,1
1696396,4,1,2,2
1696473,4,1,0,3
1696496,3,1,2,2
1696789,2,1,2,3
1697037,2,1,2,3
1697674,4,1,2,2
1697690,4,1,2,2
1697856,4,1,2,3
1698492,4,1,2,1
1698547,3,1,2,1
1698667,4,1,1,3
1698944,4,1,2,2
1698960,2,1,2,3
1698972,4,1,2,2
1699546,1,0,2,1
1699876,4,1,1,3
1703410,4,1,3,2
1703469,4,1,2,3
1703588,4,1,2,2
1703679,4,0,3,3
1703907,4,1,2,3
1704569,4,1,2,1
1704571,4,1,2,1
1704577,2,1,2,3
1704645,4,1,1,2
1705196,4,1,2,1
1705417,4,1,2,2
1706079,4,1,2,1
1706140,4,1,2,2
1706887,4,1,2,1
1707277,4,1,2,2
1707941,4,1,2,3
1708591,4,1,2,1
1708982,4,1,2,3
1709238,3,1,2,3
1709892,4,1,2,1
1709901,4,1,2,2
1710622,3,0,3,2
1710673,4,0,3,3
1710994,4,0,3,3
1711133,4,1,2,3
1711143,4,1,2,2
1711145,4,1,2,1
1711175,4,1,2,3
1711356,4,1,2,1
1711383,3,1,2,1
1711384,3,1,2,1
1711393,3,1,2,3
1711395,3,1,2,3
1711398,3,1,2,2
1712152,4,0,3,3
1713183,4,1,2,1
1713499,4,1,2,2
1713755,4,1,2,2
1714481,2,1,2,2
1714991,4,0,0,3
1715025,2,1,2,1
1715186,3,1,2,3
1715253,4,1,2,1
1715288,4,1,2,1
1715380,4,1,2,3
1715404,4,1,2,3
1715607,4,1,2,3
1715793,2,1,2,3
1716019,4,1,3,1
1716020,4,1,2,1
1716411,4,1,2,1
1716452,2,1,2,3
1716615,3,1,2,3
1717077,2,1,2,3
1717117,4,1,2,2
1717144,4,1,2,1
1717455,4,1,2,2
1717910,3,1,2,1
1718318,4,1,2,3
1718342,4,1,2,1
1718968,3,0,0,2
1719502,3,1,2,3
1720040,3,1,2,3
1720443,4,1,2,2
1721568,4,1,2,3
1721607,4,1,1,1
1721750,4,1,2,2
1721864,4,1,2,3
1721888,3,1,2,3
1721919,3,1,2,3
1721967,4,1,2,3
1722098,4,1,2,2
1722164,4,1,2,1
1722174,4,1,2,1
1722181,3,1,2,2
1722198,4,1,2,2
1722327,4,1,2,2
1722395,4,1,0,1
1722617,4,0,3,1
1722761,4,1,2,3
1722776,3,1,2,2
1722777,3,1,3,2
1723002,4,1,1,1
1723532,4,1,2,2
1724000,3,1,2,3
1724037,4,1,2,1
1724179,4,1,2,1
1724180,4,1,2,1
1724190,3,1,1,2
1724193,4,1,1,2
1724201,2,1,2,3
1724413,4,1,1,3
1724880,4,1,1,2
1725437,4,0,3,1
1725774,4,1,2,1
1726761,4,1,2,2
1726934,4,1,2,1
1727017,4,0,3,2
1727082,3,1,2,3
1727237,2,1,2,3
