movie2actor_id,movie_id,actor_id,cast_num
1,1672580,981535,0
2,1672946,1094968,0
10,1673658,573391,0
11,1673658,601871,0
12,1673658,1380666,0
13,1673658,2648462,0
14,1673658,2695030,0
15,1674388,1113528,0
16,1674388,1694741,0
17,1677258,125952,0
18,1677258,175696,0
19,1677258,278828,0
20,1677258,579367,0
21,1677258,783444,0
22,1677258,895623,0
23,1677258,901647,0
24,1677258,1069101,0
25,1677258,1848219,0
26,1677258,1851541,0
27,1677258,1869400,0
28,1677258,1904273,0
29,1677258,2186060,0
30,1677258,2317215,0
31,1677258,2562270,0
32,1677346,56506,0
33,1677346,834521,0
34,1677346,1318493,0
35,1677346,1805336,0
36,1677346,1805337,0
37,1677346,1899198,0
38,1677346,1939900,0
39,1677346,2057626,0
40,1677346,2308852,0
41,1677346,2310634,0
42,1677346,2343476,0
43,1677346,2544083,0
44,1677346,2590846,0
45,1677346,2595848,0
46,1677346,2683271,0
47,1677346,2695288,0
48,1677516,1965083,0
49,1679920,2168937,0
50,1679920,2440695,0
51,1681655,250306,0
52,1681655,822660,0
53,1682630,2196639,0
54,1682630,2357300,0
55,1682692,2146518,0
56,1684430,320121,0
57,1684486,2345739,0
121,1685241,632993,0
122,1685463,689596,0
123,1685463,692422,0
124,1685463,958671,0
125,1685815,452798,0
126,1685815,603230,0
127,1685815,1132456,0
128,1685815,1390122,0
129,1686071,526726,0
130,1686071,1686426,0
131,1686071,1851274,0
150,1689183,986832,0
151,1689183,1455593,0
152,1689183,1741434,0
153,1689183,1771080,0
154,1689183,2632364,0
155,1689263,29920,0
156,1689263,105893,0
157,1689263,402303,0
158,1689263,452983,0
159,1689263,606542,0
160,1689263,662138,0
161,1689263,775718,0
162,1689263,862609,0
163,1689263,1074677,0
164,1689263,1088368,0
165,1689263,1375873,0
166,1689263,1376954,0
167,1689263,1465831,0
168,1689263,1473121,0
169,1689263,1488588,0
170,1689263,1489212,0
171,1689263,1523663,0
172,1689263,1700215,0
173,1689263,1750731,0
174,1689263,2622231,0
176,1692173,148630,0
177,1692173,1373368,0
178,1692580,1826192,0
179,1693346,1449736,0
180,1693818,298328,0
181,1693818,305388,0
182,1693818,746499,0
183,1693818,925672,0
184,1693818,1159635,0
185,1693818,1338932,0
186,1693818,1676014,0
